# bench_ntree history v2: <name> <ms/rep oldest-first, up to 8>
sparse1M 0.015886 0.015885 0.015950 0.016228 0.012884 0.003866 0.004023 0.003939
sparse1M-inactive 1.613500 1.614720 1.623140 1.616800 1.725220 1.793400 1.854600 0.550060
dense100k 0.161885 0.160900 0.161555 0.162915 0.184260 0.184705 0.184750 0.043015
every3rd200k 0.122590 0.123015 0.122445 0.122965 0.120455 0.122975 0.123535 0.025100
ultra10M 0.008239 0.008254 0.008356 0.009100 0.006593 0.000788 0.000794 0.000774
gap1-N1M 1.602662 1.599556 1.487525 1.610656 1.856692 1.863868 1.971692 0.393674
gap2-N1M 0.914961 0.926343 0.865935 0.895265 0.921388 0.921573 0.973587 0.179240
gap4-N1M 0.454181 0.458901 0.423897 0.418776 0.460462 0.457955 0.499649 0.094506
gap8-N1M 0.231210 0.230999 0.217291 0.210280 0.230691 0.227773 0.247449 0.050973
gap16-N1M 0.115645 0.115760 0.110567 0.105529 0.113602 0.115601 0.118534 0.026745
gap64-N1M 0.028465 0.028766 0.028055 0.026633 0.029036 0.027643 0.025705 0.012040
gap256-N1M 0.025967 0.026227 0.026283 0.025053 0.021713 0.012423 0.012248 0.006072
gap1024-N1M 0.014961 0.014695 0.014214 0.012911 0.012047 0.003245 0.003416 0.003941
gap4096-N1M 0.014451 0.013789 0.013326 0.012800 0.010838 0.001475 0.001458 0.001378
gap16384-N1M 0.004182 0.004196 0.003985 0.003719 0.003687 0.000416 0.000408 0.000428
gap65536-N1M 0.001246 0.001219 0.001140 0.001083 0.001024 0.000123 0.000128 0.000125
gap1-N10M 15.972440 15.884540 15.008900 15.939060 18.507120 18.778980 19.483120 4.247040
gap2-N10M 9.171080 9.168340 8.455780 8.820480 9.157040 9.026260 9.821780 1.865260
gap4-N10M 4.524180 4.575260 4.334720 4.429400 4.572180 4.539860 5.096400 0.898660
gap8-N10M 2.310620 2.310860 2.194760 2.312920 2.316660 2.304460 2.574200 0.503040
gap16-N10M 1.157100 1.157580 1.104040 1.180460 1.134840 1.164100 1.374420 0.277440
gap64-N10M 0.293000 0.288940 0.281520 0.332800 0.290040 0.295340 0.299480 0.130580
gap256-N10M 0.272340 0.260800 0.252980 0.271780 0.212660 0.121000 0.232680 0.063880
gap1024-N10M 0.141840 0.141420 0.134500 0.145800 0.120520 0.033660 0.034340 0.033760
gap4096-N10M 0.137440 0.141420 0.127060 0.173940 0.125140 0.015100 0.015240 0.014020
gap16384-N10M 0.040400 0.040600 0.040180 0.047580 0.036900 0.004120 0.010700 0.004200
gap65536-N10M 0.011640 0.011500 0.011200 0.017140 0.010560 0.001460 0.001420 0.001620
cluster-r1K-g1K-N2M 1.635590 1.635600 1.480860 1.650845 1.761380 1.794900 1.898960 0.418305
cluster-r1K-g10K-N2M 0.316530 0.308410 0.286280 0.315525 0.326145 0.328050 0.366910 0.080335
cluster-r50-g50-N500K 0.455816 0.453054 0.423116 0.453186 0.401248 0.456742 0.499962 0.093026
cluster-r50-g500-N500K 0.081542 0.078706 0.081604 0.081946 0.078050 0.078078 0.098406 0.018804
fill-s1-N1M 13.468633 13.374700 13.384100 13.745367 13.382233 13.533667 17.783467 13.225767
fill-s997-N1M 0.156140 0.160420 0.143280 0.156300 0.163360 0.160240 0.149880 0.150780
